nro,launchDate,name,contractor,class,subType,ejector,missionType,missionStatus,functionalStatus,launchVehicle
23,7/26/2006,MEROPE,Montana State University,uni,1U,PPOD,S,1,D,Dnepr-1
24,7/26/2006,KUTESat Pathfinder,University of Kansas,uni,1U,PPOD,E,1,D,Dnepr-1
25,7/26/2006,ION,University of Illinois,uni,2U,PPOD,S,1,D,Dnepr-1
26,7/26/2006,ICECube 2,Cornell University,uni,1U,PPOD,S,1,D,Dnepr-1
27,7/26/2006,ICECube 1,Cornell University,uni,1U,PPOD,S,1,D,Dnepr-1
28,7/26/2006,HAUSAT 1,Hankuk Aviation University,uni,1U,PPOD,E,1,D,Dnepr-1
29,7/26/2006,CP 2,Cal Poly,uni,1U,PPOD,E,1,D,Dnepr-1
30,7/26/2006,CP 1 (K7RR-Sat),Cal Poly,uni,1U,PPOD,E,1,D,Dnepr-1
31,7/26/2006,AeroCube 1,Aerospace Corporation,mil,1U,PPOD,T,1,D,Dnepr-1
32,9/22/2006,HITSAT (HO-59),Hokkaido Institute of Technology,uni,1U,JPOD,E,4,D,M-5 (2)
33,12/16/2006,GENESAT (GeneSat 1),NASA Ames,civ,3U,PPOD,S,5,D,Minotaur-1
34,12/20/2006,RAFT (NO 60),US Naval Academy,uni,1U,SSPL,C,5,D,Shuttle
35,12/20/2006,MEPSI (MEPSI 2A),Aerospace Corporation,mil,2U,SSPL,T,5,D,Shuttle
36,12/20/2006,MARSCOM,US Naval Academy,uni,1U,SSPL,C,5,D,Shuttle
37,4/17/2007,MAST,Tethers Unlimited. Inc.; Pumpkin. Inc. (bus),com,3U,PPOD,T,2,N,Dnepr-1
38,4/17/2007,LIBERTAD 1,University of Sergio Arboleda,uni,1U,PPOD,E,2,N,Dnepr-1
39,4/17/2007,CSTB 1,Boeing,com,1U,PPOD,T,5,S,Dnepr-1
40,4/17/2007,CP4,Cal Poly,uni,1U,PPOD,E,3,N,Dnepr-1
41,4/17/2007,CP3,Cal Poly,uni,1U,PPOD,E,2,S,Dnepr-1
42,4/17/2007,CAPE 1,University of Louisiana,uni,1U,PPOD,E,3,N,Dnepr-1
43,4/17/2007,AEROCUBE 2,Aerospace Corporation,com,1U,PPOD,T,2,N,Dnepr-1
44,4/28/2008,SEEDS 2 (CO-66),Nihon University,uni,1U,XPOD,E,5,A,PSLV-CA
45,4/28/2008,DELFI C3 (DO-64),Technical University of Delft,uni,3U,XPOD,T,5,A,PSLV-CA
46,4/28/2008,COMPASS 1,Fachhochschule Aachen,uni,1U,XPOD,E,5,N,PSLV-CA
47,4/28/2008,CANX 2,UTIAS (University of Toronto),uni,3U,XPOD,T,5,A,PSLV-CA
48,4/28/2008,AAUSAT 2,University of Aalborg,uni,1U,XPOD,E,5,S,PSLV-CA
49,8/2/2008,PreSat,NASA Ames,civ,3U,PPOD,T,1,A,Falcon-1
50,8/2/2008,NanoSail D,NASA Ames,civ,3U,PPOD,T,1,A,Falcon-1
51,11/15/2008,PSSC-Testbed 1,Aerospace Corporation,mil,2U,SSPL,T,5,D,Shuttle
52,1/23/2009,KKS-1 (KISEKI),Tokyo Metropolitan College of Industrial Technology,uni,1U,JPOD,T,3,S,H-2A-202
53,5/19/2009,PHARMASAT,NASA Ames,civ,3U,PPOD,S,5,D,Minotaur-1
54,5/19/2009,HAWKSAT 1,Hawk Institute for Space Sciences,civ,1U,PPOD,S,2,D,Minotaur-1
55,5/19/2009,CP 6,Cal Poly,uni,1U,PPOD,E,4,D,Minotaur-1
56,5/19/2009,AEROCUBE 3,Aerospace Corporation,mil,1U,PPOD,T,3,D,Minotaur-1
57,7/15/2009,DRAGONSAT 2 (AggieSat 2),Texas A&M University,uni,1U,SSPL,T,4,D,Shuttle
58,7/15/2009,BEVO 1,University of Texas,uni,1U,SSPL,T,2,D,Shuttle
59,9/23/2009,UWE-2,University of Würzburg,uni,1U,PSL,E,2,N,PSLV-CA
60,9/23/2009,SWISSCUBE (SwissCube 1),Ecole Polytechnique Fédérale de Lausanne,uni,1U,PSL,S,4,S,PSLV-CA
61,9/23/2009,ITu-pSAT 1,Istanbul Technical University,uni,1U,PSL,E,2,S,PSLV-CA
62,9/23/2009,BEESAT,Technical University of Berlin,uni,1U,PSL,T,5,S,PSLV-CA
63,5/20/2010,WASEDA-SAT2,Waseda University,uni,1U,JPOD,E,2,D,H-2A-202
64,5/20/2010,NEGAI-STAR (Negai-Boshi),Soka University,uni,1U,JPOD,E,5,D,H-2A-202
65,5/20/2010,HAYATO (K-SAT),Kagoshima University,uni,1U,JPOD,T,2,D,H-2A-202
66,7/12/2010,TISAT 1,Scuola universitaria della Svizzera italiana,uni,1U,XPOD,E,5,A,PSLV-CA
67,7/12/2010,STUDSAT,Indian university consortium,uni,1U,XPOD,E,2,N,PSLV-CA
68,11/20/2010,RAX 1 (USA 218),University of Michigan,uni,3U,PPOD,S,4,N,Minotaur-4 HAPS
69,11/20/2010,O/OREOS,NASA Ames,civ,3U,PPOD,S,5,S,Minotaur-4 HAPS
70,12/8/2010,SMDC-ONE 1,MilTec,mil,3U,PPOD,T,5,D,Falcon-9
71,12/8/2010,QBX 2,Naval Research Laboratory,mil,3U,PPOD,T,4,D,Falcon-9
